Decision,ID,Date,Rationale,Decided by,Reversibility,Revisit on
No free-text comments at launch,D-001,2026-07-01,"Negativity kills vertical social apps in the comment field. Ship reactions plus a curated response set only. Establish norms first; open free-text later. You can always add text; you can never un-poison a community.",Kent,Easy,After v1.5 community has real density in one region
No GPS route tracing; use polygon draw instead,D-002,2026-07-01,"Phone GPS is accurate to roughly 3-5m and useless for tracing a residential lawn perimeter; traces look like scribbles and destroy trust on day one. User draws lawn polygon once on a satellite map. One-time ~60s unlocks area, pattern, discharge, savings.",Kent,Costly,Only if RTK-grade phone accuracy becomes cheap
No specialized SLM; use RAG over turf-extension content,D-003,2026-07-01,"A lawn-specific fine-tuned model is a research project that consumes the build budget and underperforms a frontier model. Use Claude/GPT plus RAG over university extension turf guides. The corpus is the moat, not the model.",Kent,Easy,100k+ users
No escrow / no money between users ever,D-004,2026-07-01,"Neighbor-mows-with-escrow is a different company: money transmission, disputes, insurance, background checks, 1099s. A marketplace cold-start stacked on a social cold-start. Neighbor Mode stays logging-only. Users Venmo each other; we stay out.",Kent,One-way door,"Not planned. Would require a deliberate strategy change."
Property is the account primitive not User,D-005,2026-07-01,"Model the property, not the person. User has many Properties, each has many Mows. Gives multi-property and I-also-mow-my-moms-lawn behavior free. Retrofitting after launch is a painful migration. The one true one-way door in v0.",Kent,One-way door,Never (get it right up front)
Mowing only; gardening/landscaping is a deliberate later,D-006,2026-07-01,"Vertical communities win by being aggressively narrow first: Strava = cycling, The Grint = golf. Gardening is post-PMF, not a v1 maybe. Documented so it stops being a distraction.",Kent,Easy,After product-market fit in mowing
Soil sample kits yes; treatment store no,D-007,2026-07-01,"Soil kit is cheap, high-margin, and generates proprietary data we own: soil profile leads to better recs leads to moat. Selling treatments = inventory plus shipping = becoming Sunday. Kit plus affiliate links, not a store.",Kent,Costly,Post-v2 monetization review
Solo build for now; structured re-entry path for co-founder,D-008,2026-07-20,"Co-founder lacks bandwidth currently. Solo lowers coordination cost to zero during validation. Keep Notion and Project structure co-founder-ready. Do NOT do equity/LLC paperwork yet; revisit when he formally joins.",Kent,Easy,When co-founder has bandwidth OR before any equity is discussed
Stack: Expo + Supabase + Mapbox + RevenueCat,D-009,2026-07-20,"Expo = one codebase iOS+Android, solo-buildable. Supabase = Postgres plus auth plus storage plus realtime, no backend to operate. Mapbox = satellite tiles plus polygon plus pattern rendering. RevenueCat = cross-platform IAP without receipt validation. Weather via OpenWeather/Tomorrow.io.",Kent,Costly,If a specific limit is hit
Development method: Explore-Plan-Implement-Commit feature branches self-review PRs,D-010,2026-07-20,"Deliberately practicing real SDLC for the Solutions Engineer job search. Git before code; feature branch per backlog item; propose plan before implementing; open a PR to myself, review the diff, merge. Solo but structured like a team.",Kent,Easy,Ongoing
